total 114458928
 330632 2014-11-05
 122356 2014-11-06
 302060 2014-11-07
 363196 2014-11-08
 217328 2014-11-09
 300716 2014-11-10
 470184 2014-11-11
 403516 2014-11-12
 167568 2014-11-13
 226248 2014-11-14
 137708 2014-11-15
 217312 2014-11-16
 135092 2014-11-17
 284416 2014-11-18
 231788 2014-11-19
 331656 2014-11-20
 254988 2014-11-21
 509812 2014-11-22
 214424 2014-11-23
 135668 2014-11-24
 222084 2014-11-25
 366588 2014-11-26
 206160 2014-11-27
 219696 2014-11-28
 215956 2014-11-29
 313880 2014-11-30
 221076 2014-12-01
 229980 2014-12-02
 154548 2014-12-03
 172680 2014-12-04
  87484 2014-12-05
 430024 2014-12-06
 350568 2014-12-07
 298168 2014-12-08
 310432 2014-12-09
 318616 2014-12-10
 384212 2014-12-11
  91948 2014-12-12
 300044 2014-12-13
 271644 2014-12-14
 310900 2014-12-15
 291784 2014-12-16
 244524 2014-12-17
 263908 2014-12-18
 187016 2014-12-19
 220960 2014-12-20
 216552 2014-12-21
    196 2014-12-22
 317748 2014-12-23
 309620 2014-12-24
 334148 2014-12-25
 445932 2014-12-26
 361356 2014-12-27
 244540 2014-12-28
 273048 2014-12-29
1830588 2014-12-30
1002204 2014-12-31
1238688 2015-01-01
2230636 2015-01-02
1620604 2015-01-03
1049028 2015-01-04
 889968 2015-01-05
 461220 2015-01-06
 146704 2015-01-07
 451468 2015-01-08
 106780 2015-01-09
 468372 2015-01-10
1137368 2015-01-11
 721828 2015-01-12
 727056 2015-01-13
 462480 2015-01-14
 760856 2015-01-15
 398512 2015-01-16
    328 2015-01-17
 102960 2015-01-18
 606788 2015-01-19
 547292 2015-01-20
 789460 2015-01-21
 931724 2015-01-22
1158604 2015-01-23
 365416 2015-01-24
 431460 2015-01-25
 279172 2015-01-26
 321440 2015-01-27
 419636 2015-01-28
 503648 2015-01-29
 112912 2015-01-30
 205964 2015-01-31
 628192 2015-02-01
 550636 2015-02-02
 947236 2015-02-03
 602864 2015-02-04
 686396 2015-02-05
 657496 2015-02-06
 414840 2015-02-07
 521596 2015-02-08
 423796 2015-02-09
 438380 2015-02-10
 658672 2015-02-11
 702040 2015-02-12
 623512 2015-02-13
 779528 2015-02-14
 720436 2015-02-15
 868816 2015-02-16
 725084 2015-02-17
 616184 2015-02-18
1253048 2015-02-19
 849952 2015-02-20
 832716 2015-02-21
 870440 2015-02-22
 826284 2015-02-23
 693640 2015-02-24
 778064 2015-02-25
 674372 2015-02-26
 542996 2015-02-27
 802552 2015-02-28
 786172 2015-03-01
 789944 2015-03-02
 619352 2015-03-03
1176032 2015-03-04
 830468 2015-03-05
 804456 2015-03-06
 645896 2015-03-07
1485716 2015-03-08
 759720 2015-03-09
 880976 2015-03-10
 534324 2015-03-11
 970104 2015-03-12
 745996 2015-03-13
 632492 2015-03-14
 895624 2015-03-15
 986392 2015-03-16
 782396 2015-03-17
 801576 2015-03-18
 610116 2015-03-19
 984940 2015-03-20
 961544 2015-03-21
 973036 2015-03-22
 854368 2015-03-23
 747004 2015-03-24
 708096 2015-03-25
 700180 2015-03-26
 744584 2015-03-27
 748024 2015-03-28
 746148 2015-03-29
 698776 2015-03-30
 798048 2015-03-31
 798808 2015-04-01
1033540 2015-04-02
 913552 2015-04-03
 882516 2015-04-04
 921780 2015-04-05
1077792 2015-04-06
 902140 2015-04-07
 704608 2015-04-08
 725532 2015-04-09
 717808 2015-04-10
 808128 2015-04-11
 747376 2015-04-12
 782012 2015-04-13
 701776 2015-04-14
 651260 2015-04-15
    148 2015-04-16
    160 2015-04-17
