date,data_transferred
2014-12-05,87484
2014-12-06,430024
2014-12-07,350568
2014-12-08,298168
2014-12-09,310432
2014-12-10,318616
2014-12-11,384212
2014-12-12,91948
2014-12-13,300044
2014-12-14,271644
2014-12-15,310900
2014-12-16,291784
2014-12-17,244524
2014-12-18,263908
2014-12-19,187016
2014-12-20,220960
2014-12-21,216552
2014-12-22,196
2014-12-23,317748
2014-12-24,309620
2014-12-25,334148
2014-12-26,445932
2014-12-27,361356
2014-12-28,244540
2014-12-29,273048
2014-12-30,1830588
2014-12-31,1002204
2015-01-01,1238688
2015-01-02,2230636
2015-01-03,1620604
2015-01-04,1049028
2015-01-05,889968
2015-01-06,461220
2015-01-07,146704
2015-01-08,451468
2015-01-09,106780
2015-01-10,468372
2015-01-11,1137368
2015-01-12,721828
2015-01-13,727056
2015-01-14,462480
2015-01-15,760856
2015-01-16,398512
2015-01-17,328
2015-01-18,102960
2015-01-19,606788
2015-01-20,547292
2015-01-21,789460
2015-01-22,931724
2015-01-23,1158604
2015-01-24,365416
2015-01-25,431460
2015-01-26,279172
2015-01-27,321440
2015-01-28,419636
2015-01-29,503648
2015-01-30,112912
2015-01-31,205964
2015-02-01,628192
2015-02-02,550636
2015-02-03,947236
2015-02-04,602864
2015-02-05,686396
2015-02-06,657496
2015-02-07,414840
2015-02-08,521596
2015-02-09,423796
2015-02-10,438380
2015-02-11,658672
2015-02-12,702040
2015-02-13,623512
2015-02-14,779528
2015-02-15,720436
2015-02-16,868816
2015-02-17,725084
2015-02-18,616184
2015-02-19,1253048
2015-02-20,849952
2015-02-21,832716
2015-02-22,870440
2015-02-23,826284
2015-02-24,693640
2015-02-25,778064
2015-02-26,674372
2015-02-27,542996
2015-02-28,802552
2015-03-01,786172
2015-03-02,789944
2015-03-03,619352
2015-03-04,1176032
2015-03-05,830468
2015-03-06,804456
2015-03-07,645896
2015-03-08,1485716
2015-03-09,759720
2015-03-10,880976
2015-03-11,534324
2015-03-12,970104
2015-03-13,745996
2015-03-14,632492
2015-03-15,895624
2015-03-16,986392
2015-03-17,782396
2015-03-18,801576
2015-03-19,610116
2015-03-20,984940
2015-03-21,961544
2015-03-22,973036
2015-03-23,854368
2015-03-24,747004
2015-03-25,708096
2015-03-26,700180
2015-03-27,744584
2015-03-28,748024
2015-03-29,746148
2015-03-30,698776
2015-03-31,798048
2015-04-01,798808
2015-04-02,1033540
2015-04-03,913552
2015-04-04,882516
2015-04-05,921780
2015-04-06,1077792
2015-04-07,902140
2015-04-08,704608
2015-04-09,725532
2015-04-10,717808
2015-04-11,808128
2015-04-12,747376
2015-04-13,782012
2015-04-14,701776
2015-04-15,651260
2015-04-16,148
2015-04-17,160
